コード,銘柄名,株価,前日比,前日比(%),取得価格,保有株数,損益,損益(%),メモ内容
5753,日本伸銅,2527,-60,-2.32,,,,,""
3504,丸八HLD,1184,,0,,,,,""
6335,東京機械製作所,502,,0,,,,,""
1999,サイタHLD,,,,,,,,""
5962,浅香工業,2042,-17,-0.83,,,,,""
5363,TYK,568,-1,-0.18,,,,,""
4231,タイガースポリマー,1039,-4,-0.39,,,,,""
8138,三京化成,4210,-40,-0.95,,,,,""
3320,クロスプラス,1370,9,0.66,,,,,""
8152,ソマール,5760,-50,-0.87,,,,,""
5697,サンユウ,742,8,1.08,,,,,""
7175,今村証券,1390,30,2.2,,,,,""
5280,ヨシコン,2583,4,0.15,,,,,""
6748,星和電機,750,5,0.67,,,,,""
7434,オータケ,1836,17,0.93,,,,,""
7877,永大化工,2052,23,1.13,,,,,""
7957,フジコピアン,1410,,0,,,,,""
6276,シリウスビジョン,247,-2,-0.81,,,,,""
6743,大同信号,778,-3,-0.39,,,,,""
8935,FJネクストHLD,1637,2,0.12,,,,,""
6497,ハマイ,1306,-2,-0.16,,,,,""
1869,名工建設,1822,32,1.78,,,,,""
5282,ジオスター,430,6,1.41,,,,,""
6899,ASTI,2471,10,0.4,,,,,""
7218,田中精密工業,1132,-24,-2.08,,,,,""
